Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
32,original,CT,0.0,0.16016016016016016
32,original,LDA,0.0,0.33233233233233234
32,ldbk,CT,0.0,0.0890890890890891
32,ldbk,LDA,0.09090909090909091,0.12612612612612611
32,ldbkash,CT,0.0,0.33133133133133136
32,ldbkash,LDA,0.1717171717171717,0.3733733733733734
32,ldbkemd,CT,0.0,0.0940940940940941
32,ldbkemd,LDA,0.09090909090909091,0.12912912912912913
29,original,CT,0.0,0.13113113113113112
29,original,LDA,0.0,0.33933933933933935
29,ldbk,CT,0.0,0.13313313313313313
29,ldbk,LDA,0.09090909090909091,0.12512512512512514
29,ldbkash,CT,0.0,0.5055055055055055
29,ldbkash,LDA,0.36363636363636365,0.5455455455455456
29,ldbkemd,CT,0.0,0.10810810810810811
29,ldbkemd,LDA,0.10101010101010101,0.11211211211211211
1,original,CT,0.0,0.18018018018018017
1,original,LDA,0.0,0.2872872872872873
1,ldbk,CT,0.0,0.14014014014014015
1,ldbk,LDA,0.050505050505050504,0.17617617617617617
1,ldbkash,CT,0.0,0.4124124124124124
1,ldbkash,LDA,0.20202020202020202,0.45045045045045046
1,ldbkemd,CT,0.0,0.06906906906906907
1,ldbkemd,LDA,0.050505050505050504,0.14914914914914915
54,original,CT,0.0,0.22522522522522523
54,original,LDA,0.0,0.3303303303303303
54,ldbk,CT,0.0,0.16616616616616617
54,ldbk,LDA,0.10101010101010101,0.12312312312312312
54,ldbkash,CT,0.0,0.3383383383383383
54,ldbkash,LDA,0.25252525252525254,0.4084084084084084
54,ldbkemd,CT,0.0,0.09309309309309309
54,ldbkemd,LDA,0.09090909090909091,0.12312312312312312
78,original,CT,0.0,0.14614614614614616
78,original,LDA,0.0,0.3783783783783784
78,ldbk,CT,0.0,0.12212212212212212
78,ldbk,LDA,0.1111111111111111,0.09109109109109109
78,ldbkash,CT,0.0,0.16516516516516516
78,ldbkash,LDA,0.09090909090909091,0.07507507507507508
78,ldbkemd,CT,0.0,0.14014014014014015
78,ldbkemd,LDA,0.09090909090909091,0.0970970970970971
81,original,CT,0.0,0.15215215215215216
81,original,LDA,0.0,0.26426426426426425
81,ldbk,CT,0.0,0.1111111111111111
81,ldbk,LDA,0.08080808080808081,0.11911911911911911
81,ldbkash,CT,0.0,0.3003003003003003
81,ldbkash,LDA,0.24242424242424243,0.4074074074074074
81,ldbkemd,CT,0.0,0.07807807807807808
81,ldbkemd,LDA,0.08080808080808081,0.12012012012012012
2,original,CT,0.0,0.12712712712712712
2,original,LDA,0.0,0.2992992992992993
2,ldbk,CT,0.0,0.07507507507507508
2,ldbk,LDA,0.12121212121212122,0.16216216216216217
2,ldbkash,CT,0.0,0.1841841841841842
2,ldbkash,LDA,0.1717171717171717,0.3233233233233233
2,ldbkemd,CT,0.0,0.1011011011011011
2,ldbkemd,LDA,0.09090909090909091,0.17117117117117117
74,original,CT,0.0,0.18518518518518517
74,original,LDA,0.0,0.3113113113113113
74,ldbk,CT,0.0,0.09009009009009009
74,ldbk,LDA,0.12121212121212122,0.12812812812812813
74,ldbkash,CT,0.0,0.4004004004004004
74,ldbkash,LDA,0.37373737373737376,0.43843843843843844
74,ldbkemd,CT,0.0,0.09009009009009009
74,ldbkemd,LDA,0.1111111111111111,0.1111111111111111
41,original,CT,0.0,0.16016016016016016
41,original,LDA,0.0,0.3173173173173173
41,ldbk,CT,0.0,0.08808808808808809
41,ldbk,LDA,0.08080808080808081,0.14614614614614616
41,ldbkash,CT,0.0,0.42542542542542544
41,ldbkash,LDA,0.3333333333333333,0.4974974974974975
41,ldbkemd,CT,0.0,0.06306306306306306
41,ldbkemd,LDA,0.0707070707070707,0.14614614614614616
65,original,CT,0.0,0.1921921921921922
65,original,LDA,0.0,0.2992992992992993
65,ldbk,CT,0.0,0.13813813813813813
65,ldbk,LDA,0.020202020202020204,0.15315315315315314
65,ldbkash,CT,0.0,0.24524524524524524
65,ldbkash,LDA,0.1414141414141414,0.3103103103103103
65,ldbkemd,CT,0.0,0.0990990990990991
65,ldbkemd,LDA,0.020202020202020204,0.15815815815815815
51,original,CT,0.0,0.2132132132132132
51,original,LDA,0.0,0.2552552552552553
51,ldbk,CT,0.0,0.07507507507507508
51,ldbk,LDA,0.0707070707070707,0.12612612612612611
51,ldbkash,CT,0.0,0.3153153153153153
51,ldbkash,LDA,0.2222222222222222,0.4114114114114114
51,ldbkemd,CT,0.0,0.06706706706706707
51,ldbkemd,LDA,0.0707070707070707,0.11711711711711711
53,original,CT,0.0,0.13913913913913914
53,original,LDA,0.0,0.4074074074074074
53,ldbk,CT,0.0,0.1001001001001001
53,ldbk,LDA,0.12121212121212122,0.1941941941941942
53,ldbkash,CT,0.0,0.2002002002002002
53,ldbkash,LDA,0.26262626262626265,0.4214214214214214
53,ldbkemd,CT,0.0,0.15615615615615616
53,ldbkemd,LDA,0.15151515151515152,0.15615615615615616
27,original,CT,0.0,0.14114114114114115
27,original,LDA,0.0,0.3133133133133133
27,ldbk,CT,0.0,0.12612612612612611
27,ldbk,LDA,0.06060606060606061,0.14414414414414414
27,ldbkash,CT,0.0,0.4124124124124124
27,ldbkash,LDA,0.31313131313131315,0.4724724724724725
27,ldbkemd,CT,0.0,0.12112112112112113
27,ldbkemd,LDA,0.0707070707070707,0.14014014014014015
