Experiment,Method,Classifier,"Train_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
32,original,CT,1.0,0.8452983373185786
32,original,LDA,1.0,0.6632106828238542
32,ldbk,CT,1.0,0.9123569368763387
32,ldbk,LDA,0.9111111111111111,0.876364433095062
32,ldbkash,CT,1.0,0.6748951781970649
32,ldbkash,LDA,0.8316239316239317,0.6171717648078423
32,ldbkemd,CT,1.0,0.9082865528020346
32,ldbkemd,LDA,0.9121863799283154,0.8746919608177867
29,original,CT,1.0,0.8732982573467509
29,original,LDA,1.0,0.6724573064386883
29,ldbk,CT,1.0,0.8675943966549062
29,ldbk,LDA,0.9105763517528224,0.8815652763005942
29,ldbkash,CT,1.0,0.5160875941935299
29,ldbkash,LDA,0.6405280181834077,0.44622353526452574
29,ldbkemd,CT,1.0,0.891984702084564
29,ldbkemd,LDA,0.9011904761904762,0.8939857536020722
1,original,CT,1.0,0.8193238777268145
1,original,LDA,1.0,0.7205732141216012
1,ldbk,CT,1.0,0.858183319138504
1,ldbk,LDA,0.9522102747909199,0.8376522501318059
1,ldbkash,CT,1.0,0.5980695382956454
1,ldbkash,LDA,0.7998316498316499,0.559625846039123
1,ldbkemd,CT,1.0,0.9308837091684764
1,ldbkemd,LDA,0.9525462962962963,0.8652245409909222
54,original,CT,1.0,0.7843749979337081
54,original,LDA,1.0,0.6793488461494974
54,ldbk,CT,1.0,0.8385853978216716
54,ldbk,LDA,0.899212715389186,0.8808788770543214
54,ldbkash,CT,1.0,0.6661523998872279
54,ldbkash,LDA,0.7519138185804852,0.5864005366288343
54,ldbkemd,CT,1.0,0.9120993990571594
54,ldbkemd,LDA,0.9090909090909091,0.8805171341054848
78,original,CT,1.0,0.8541342428461414
78,original,LDA,1.0,0.6421601139120741
78,ldbk,CT,1.0,0.8813371259549604
78,ldbk,LDA,0.8923611111111112,0.9105874093295477
78,ldbkash,CT,1.0,0.8435033291061014
78,ldbkash,LDA,0.9107142857142857,0.9260883189317203
78,ldbkemd,CT,1.0,0.8663885829852959
78,ldbkemd,LDA,0.9126126126126126,0.9052439123298882
81,original,CT,1.0,0.8550804866288343
81,original,LDA,1.0,0.7388536329622466
81,ldbk,CT,1.0,0.8944517225611083
81,ldbk,LDA,0.922077922077922,0.8932207207207207
81,ldbkash,CT,1.0,0.6981684487204991
81,ldbkash,LDA,0.75426944971537,0.59783297140789
81,ldbkemd,CT,1.0,0.9230918830996623
81,ldbkemd,LDA,0.922077922077922,0.8899098366671748
2,original,CT,1.0,0.874954216217756
2,original,LDA,1.0,0.710221088686229
2,ldbk,CT,1.0,0.9243898664805232
2,ldbk,LDA,0.890818858560794,0.854788335253726
2,ldbkash,CT,1.0,0.8167104171810993
2,ldbkash,LDA,0.8364197530864198,0.6875848208640518
2,ldbkemd,CT,1.0,0.8991590508257175
2,ldbkemd,LDA,0.9177631578947368,0.8580097812987547
74,original,CT,1.0,0.8160563841686047
74,original,LDA,1.0,0.7092928968294547
74,ldbk,CT,1.0,0.9125064157399487
74,ldbk,LDA,0.8814217443249701,0.8760600128684491
74,ldbkash,CT,1.0,0.5920541947321234
74,ldbkash,LDA,0.621957671957672,0.5509621609729918
74,ldbkemd,CT,1.0,0.9123237679795864
74,ldbkemd,LDA,0.8924924924924925,0.8932086774503576
41,original,CT,1.0,0.840941907521782
41,original,LDA,1.0,0.6845056819862183
41,ldbk,CT,1.0,0.9124167128618167
41,ldbk,LDA,0.9201228878648233,0.856343984183218
41,ldbkash,CT,1.0,0.5778890687232041
41,ldbkash,LDA,0.6750805152979067,0.4959803503221173
41,ldbkemd,CT,1.0,0.9368405364749308
41,ldbkemd,LDA,0.9295343137254902,0.8577320745541867
65,original,CT,1.0,0.8165582513795974
65,original,LDA,1.0,0.7079778902393958
65,ldbk,CT,1.0,0.8648976331955055
65,ldbk,LDA,0.9809523809523809,0.856858909765821
65,ldbkash,CT,1.0,0.7562192603461863
65,ldbkash,LDA,0.8662469751966122,0.6909653440246992
65,ldbkemd,CT,1.0,0.9034500061196022
65,ldbkemd,LDA,0.9797979797979798,0.8502558644004812
51,original,CT,1.0,0.7923597799077032
51,original,LDA,1.0,0.7428523198855832
51,ldbk,CT,1.0,0.9253782548531078
51,ldbk,LDA,0.9332462714815656,0.8778450955175093
51,ldbkash,CT,1.0,0.6825013400675726
51,ldbkash,LDA,0.7766792347437509,0.5684351913121857
51,ldbkemd,CT,1.0,0.9362263665613573
51,ldbkemd,LDA,0.9306397306397306,0.885861290143441
53,original,CT,1.0,0.8618272405264525
53,original,LDA,1.0,0.5975901541807094
53,ldbk,CT,1.0,0.8997232622232623
53,ldbk,LDA,0.8885941644562334,0.8201449663396202
53,ldbkash,CT,1.0,0.7964013371937847
53,ldbkash,LDA,0.7306324265165729,0.5650716190133689
53,ldbkemd,CT,1.0,0.849877155921755
53,ldbkemd,LDA,0.8544027898866609,0.8536796037228788
27,original,CT,1.0,0.8579392450512591
27,original,LDA,1.0,0.6959521805542567
27,ldbk,CT,1.0,0.8739240480503951
27,ldbk,LDA,0.9417027417027417,0.8681164124202099
27,ldbkash,CT,1.0,0.5802334904048465
27,ldbkash,LDA,0.6838562700631665,0.5180501476262092
27,ldbkemd,CT,1.0,0.8798130783612141
