Experiment,Method,Classifier,"Train_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
32,original,CT,1.0,0.8398398398398399
32,original,LDA,1.0,0.6676676676676677
32,ldbk,CT,1.0,0.9109109109109109
32,ldbk,LDA,0.9090909090909092,0.8738738738738738
32,ldbkash,CT,1.0,0.6686686686686687
32,ldbkash,LDA,0.8282828282828284,0.6266266266266266
32,ldbkemd,CT,1.0,0.9059059059059059
32,ldbkemd,LDA,0.9090909090909092,0.8708708708708709
29,original,CT,1.0,0.8688688688688688
29,original,LDA,1.0,0.6606606606606608
29,ldbk,CT,1.0,0.8668668668668668
29,ldbk,LDA,0.9090909090909092,0.8748748748748749
29,ldbkash,CT,1.0,0.4944944944944945
29,ldbkash,LDA,0.6363636363636364,0.4544544544544545
29,ldbkemd,CT,1.0,0.8918918918918918
29,ldbkemd,LDA,0.8989898989898991,0.8878878878878879
1,original,CT,1.0,0.8198198198198199
1,original,LDA,1.0,0.7127127127127126
1,ldbk,CT,1.0,0.8598598598598599
1,ldbk,LDA,0.9494949494949495,0.8238238238238238
1,ldbkash,CT,1.0,0.5875875875875876
1,ldbkash,LDA,0.7979797979797979,0.5495495495495496
1,ldbkemd,CT,1.0,0.9309309309309309
1,ldbkemd,LDA,0.9494949494949495,0.8508508508508509
54,original,CT,1.0,0.7747747747747749
54,original,LDA,1.0,0.6696696696696697
54,ldbk,CT,1.0,0.8338338338338339
54,ldbk,LDA,0.8989898989898991,0.8768768768768768
54,ldbkash,CT,1.0,0.6616616616616616
54,ldbkash,LDA,0.7474747474747474,0.5915915915915916
54,ldbkemd,CT,1.0,0.9069069069069068
54,ldbkemd,LDA,0.9090909090909092,0.8768768768768768
78,original,CT,1.0,0.8538538538538539
78,original,LDA,1.0,0.6216216216216216
78,ldbk,CT,1.0,0.8778778778778779
78,ldbk,LDA,0.888888888888889,0.908908908908909
78,ldbkash,CT,1.0,0.8348348348348349
78,ldbkash,LDA,0.9090909090909092,0.924924924924925
78,ldbkemd,CT,1.0,0.8598598598598599
78,ldbkemd,LDA,0.9090909090909092,0.9029029029029029
81,original,CT,1.0,0.8478478478478478
81,original,LDA,1.0,0.7357357357357358
81,ldbk,CT,1.0,0.8888888888888888
81,ldbk,LDA,0.9191919191919192,0.8808808808808809
81,ldbkash,CT,1.0,0.6996996996996997
81,ldbkash,LDA,0.7575757575757577,0.5925925925925927
81,ldbkemd,CT,1.0,0.921921921921922
81,ldbkemd,LDA,0.9191919191919192,0.8798798798798799
2,original,CT,1.0,0.8728728728728729
2,original,LDA,1.0,0.7007007007007008
2,ldbk,CT,1.0,0.924924924924925
2,ldbk,LDA,0.8787878787878788,0.8378378378378377
2,ldbkash,CT,1.0,0.8158158158158159
2,ldbkash,LDA,0.8282828282828283,0.6766766766766766
2,ldbkemd,CT,1.0,0.898898898898899
2,ldbkemd,LDA,0.9090909090909092,0.8288288288288289
74,original,CT,1.0,0.8148148148148149
74,original,LDA,1.0,0.6886886886886887
74,ldbk,CT,1.0,0.9099099099099099
74,ldbk,LDA,0.8787878787878789,0.8718718718718718
74,ldbkash,CT,1.0,0.5995995995995996
74,ldbkash,LDA,0.6262626262626263,0.5615615615615616
74,ldbkemd,CT,1.0,0.9099099099099099
74,ldbkemd,LDA,0.888888888888889,0.888888888888889
41,original,CT,1.0,0.8398398398398399
41,original,LDA,1.0,0.6826826826826827
41,ldbk,CT,1.0,0.9119119119119118
41,ldbk,LDA,0.9191919191919192,0.8538538538538538
41,ldbkash,CT,1.0,0.5745745745745746
41,ldbkash,LDA,0.6666666666666666,0.5025025025025025
41,ldbkemd,CT,1.0,0.936936936936937
41,ldbkemd,LDA,0.9292929292929294,0.8538538538538538
65,original,CT,1.0,0.8078078078078077
65,original,LDA,1.0,0.7007007007007008
65,ldbk,CT,1.0,0.8618618618618618
65,ldbk,LDA,0.9797979797979798,0.8468468468468467
65,ldbkash,CT,1.0,0.7547547547547547
65,ldbkash,LDA,0.8585858585858586,0.6896896896896897
65,ldbkemd,CT,1.0,0.9009009009009009
65,ldbkemd,LDA,0.9797979797979798,0.8418418418418417
51,original,CT,1.0,0.7867867867867867
51,original,LDA,1.0,0.7447447447447448
51,ldbk,CT,1.0,0.924924924924925
51,ldbk,LDA,0.9292929292929294,0.8738738738738738
51,ldbkash,CT,1.0,0.6846846846846848
51,ldbkash,LDA,0.7777777777777777,0.5885885885885885
51,ldbkemd,CT,1.0,0.9329329329329329
51,ldbkemd,LDA,0.9292929292929294,0.8828828828828829
53,original,CT,1.0,0.8608608608608609
53,original,LDA,1.0,0.5925925925925926
53,ldbk,CT,1.0,0.8998998998998999
53,ldbk,LDA,0.8787878787878788,0.8058058058058059
53,ldbkash,CT,1.0,0.7997997997997999
53,ldbkash,LDA,0.7373737373737373,0.5785785785785785
53,ldbkemd,CT,1.0,0.8438438438438439
53,ldbkemd,LDA,0.8484848484848485,0.8438438438438438
27,original,CT,1.0,0.8588588588588589
27,original,LDA,1.0,0.6866866866866866
27,ldbk,CT,1.0,0.8738738738738738
27,ldbk,LDA,0.9393939393939394,0.8558558558558559
27,ldbkash,CT,1.0,0.5875875875875876
27,ldbkash,LDA,0.6868686868686869,0.5275275275275275
27,ldbkemd,CT,1.0,0.8788788788788789
27,ldbkemd,LDA,0.9292929292929294,0.8598598598598599
75,original,CT,1.0,0.8278278278278278
75,original,LDA,1.0,0.6686686686686687
75,ldbk,CT,1.0,0.9029029029029028
75,ldbk,LDA,0.8787878787878788,0.8728728728728729
75,ldbkash,CT,1.0,0.6246246246246246
75,ldbkash,LDA,0.7171717171717171,0.5275275275275275
75,ldbkemd,CT,1.0,0.9209209209209209
75,ldbkemd,LDA,0.8888888888888888,0.8758758758758759
42,original,CT,1.0,0.8068068068068069
42,original,LDA,1.0,0.7727727727727727
42,ldbk,CT,1.0,0.8068068068068067
42,ldbk,LDA,0.8686868686868686,0.7937937937937938
42,ldbkash,CT,1.0,0.7167167167167167
42,ldbkash,LDA,0.7171717171717171,0.5535535535535535
42,ldbkemd,CT,1.0,0.8778778778778779
42,ldbkemd,LDA,0.9393939393939394,0.8808808808808809
33,original,CT,1.0,0.8198198198198199
33,original,LDA,1.0,0.7447447447447448
33,ldbk,CT,1.0,0.8808808808808809
33,ldbk,LDA,0.8989898989898991,0.8808808808808809
33,ldbkash,CT,1.0,0.6916916916916916
33,ldbkash,LDA,0.6363636363636364,0.4244244244244244
33,ldbkemd,CT,1.0,0.9099099099099099
33,ldbkemd,LDA,0.888888888888889,0.8818818818818818
28,original,CT,1.0,0.8458458458458459
28,original,LDA,1.0,0.7027027027027026
28,ldbk,CT,1.0,0.8758758758758759
28,ldbk,LDA,0.9494949494949495,0.898898898898899
28,ldbkash,CT,1.0,0.8798798798798799
28,ldbkash,LDA,0.9494949494949495,0.8808808808808809
28,ldbkemd,CT,1.0,0.9129129129129129
28,ldbkemd,LDA,0.9292929292929294,0.898898898898899
50,original,CT,1.0,0.8078078078078078
50,original,LDA,1.0,0.7267267267267267
50,ldbk,CT,1.0,0.9429429429429429
50,ldbk,LDA,0.9191919191919192,0.8928928928928929
50,ldbkash,CT,1.0,0.6886886886886887
50,ldbkash,LDA,0.6969696969696969,0.5525525525525525
